Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2016,2,44,Isaia Cordinier,G,6-5,197.0,19.0,Denain ASC Voltaire (France),1996 DOB *,ATL to  BRK,0,BKN
2015,1,23,Rondae Hollis-Jefferson,SF,6-6,217.0,20.0,Arizona,So *,POR to  BRK,6,BKN
2015,1,26,Nikola Milutinov,C,7-0,220.0,20.0,KK Partizan (Serbia),1994 DOB *,SAN to  BRK,0,BKN
2015,2,49,Aaron White,F,6-9,220.0,22.0,Iowa,Sr,WAS to  BRK,0,BKN
2014,2,44,Markel Brown,SG,6-3,190.0,22.0,Oklahoma State,Sr,MIN to  BRK,3,BKN
2014,2,59,Xavier Thames,G,6-3,187.0,23.0,San Diego State,Sr,TOR to  BRK,0,BKN
2014,2,60,Cory Jefferson,PF,6-9,215.0,23.0,Baylor,Sr,SAN to  PHL PHL  to BRK,2,BKN
2012,2,41,Tyshawn Taylor,G,6-3,185.0,22.0,Kansas,Sr,POR to  BRK,2,BKN
2012,2,54,Tornike Shengelia,PF,6-9,220.0,20.0,Proximus Spirou Charleroi (Belgium),1991 DOB *,PHL to  BRK,2,BKN
2011,1,25,MarShon Brooks,GF,6-5,200.0,22.0,Providence,Sr,BOS to  NJN,5,BKN
2011,2,31,Bojan Bogdanovic,F,6-7,226.0,22.0,KK Cibona (Croatia),1989 DOB,MIA to  MIN MIN  to NJN,11,BKN
2010,1,24,Damion James,SF,6-7,225.0,22.0,Texas,Sr,ATL to  NJN,4,BKN
2001,1,13,Richard Jefferson,SF,6-7,233.0,21.0,Arizona,Jr *,HOU to  NJN,17,BKN
2001,1,18,Jason Collins,C,7-0,255.0,22.0,Stanford,Jr *,HOU to  NJN,13,BKN
2001,1,23,Brandon Armstrong,SG,6-5,185.0,21.0,Pepperdine,Jr *,HOU to  NJN,4,BKN
1997,1,2,Keith Van Horn,F,6-10,220.0,21.0,Utah,Sr,PHL to  NJN,10,BKN
1990,2,38,Jud Buechler,SF,6-6,220.0,22.0,Arizona,Sr,SEA to  NJN,12,BKN
1989,2,42,Michael Cutright,SG,6-4,210.0,22.0,McNeese State,Sr,DEN to  NJN,0,BKN
1982,2,38,Wayne Sappleton,F,6-9,215.0,21.0,Loyola (IL),Sr,GOS to  NJN,1,BKN
