Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct
1978,2,40,Wayne Cooper,FC,6-10,220.0,21.0,New Orleans,Sr,,14,76441.0,US,1991,0.0
1978,3,56,Steve Neff,C,6-10,240.0,,Southern Nazarene,Sr,,0,,,,
1978,4,77,Derrick Jackson,SG,6-1,180.0,,Georgetown,Sr,,0,,,,
1978,5,101,Bubba Wilson,SG,6-3,175.0,22.0,Western Carolina,Sr,,2,78587.0,US,1979,0.0
1978,6,122,Buzz Hartnett,F,6-7,,,San Diego,Sr,,0,,,,
1978,7,142,Rick Bernard,,,,,Saint Mary's,Sr,,0,,,,
1978,8,163,Tony Searcy,,,,,Appalachian State,Sr,,0,,,,
1978,9,179,Bobby Humbles,G,,,,Bradley,Sr,,0,,,,
1978,10,193,Mike Muff,,,,,Murray State,Sr,,0,,,,
1977,1,16,Rickey Green,PG,6-0,170.0,22.0,Michigan,Sr,,14,76874.0,US,1991,0.0
1977,1,18,Wesley Cox,SF,6-6,215.0,22.0,Louisville,Sr,,2,76465.0,US,1978,0.0
1977,2,38,Ricky Love,PF,6-8,235.0,,Alabama-Huntsville,Sr,,0,,,,
1977,3,60,Marlon Redmond,SF,6-6,190.0,22.0,San Francisco,Sr,,3,77926.0,US,1979,0.0
1977,4,82,Roy Smith,PF,6-8,,,Kentucky State,Sr,,0,,,,
1977,4,87,Leartha Scott,SG,6-4,185.0,,Wisconsin-Parkside,Sr,,0,,,,
1977,5,104,Ray Epps,SF,6-6,195.0,20.0,Norfolk State,Sr *,,1,76678.0,US,1978,0.0
1977,6,126,Jack Phelan,,,,,St. Francis (PA),Sr,,0,,,,
1977,7,146,Jerry Thurston,,,,,Mercer,Sr,,0,,,,
1977,8,165,Ricky Marsh,G,6-3,200.0,23.0,Manhattan,Sr,,2,77465.0,US,1977,0.0
1976,1,8,Robert Parish,C,7-0,230.0,22.0,Centenary (LA),Sr,,20,305.0,US,1996,0.0
1976,1,17,Sonny Parker,GF,6-6,200.0,21.0,Texas A&M,Sr,,6,77800.0,US,1981,0.0
1976,2,34,Marshall Rogers,PG,6-1,190.0,22.0,Texas-RGV,Sr,,2,78008.0,US,1976,0.0
1976,4,68,Jeff Fosnes,SF,6-7,175.0,22.0,Vanderbilt,Sr,,0,,,,
1976,5,86,Carl Bird,SF,6-6,,,California,Sr,,0,,,,
1976,6,91,Duane Barnett,,,,,Stanford,Sr,,0,,,,
1976,6,104,Gene Cunningham,PF,6-6,270.0,,Norfolk State,Sr,,0,,,,
1976,7,122,Jesse Campbell,,,,,Mercyhurst,Sr,,0,,,,
1976,8,140,Stan Boskovich,F,6-6,,,West Virginia,Sr,,0,,,,
1976,9,157,Howard Smith,,,,,San Francisco,Sr,,0,,,,
1976,10,173,Ken Smith,,,,,San Diego State,Sr,,0,,,,
1975,2,20,Gus Williams,G,6-2,175.0,21.0,USC,Sr,,11,78549.0,US,1986,0.0
1975,3,40,Otis Johnson,PF,6-9,205.0,,Stetson,Sr,,1,,,,
1975,3,51,Robert Hawkins,G,6-4,190.0,20.0,Illinois State,Sr,,4,76975.0,US,1978,0.0
1975,4,69,Billy Taylor,SF,6-5,190.0,,La Salle,Sr,,0,,,,
1975,5,87,Larry Pounds,,,,,Washington,Sr,,0,,,,
1975,6,105,Tony Styles,,,,,San Francisco,Sr,,0,,,,
1975,7,123,Stan Boyer,F,,,,Wyoming,Sr,,0,,,,
1975,8,141,Mike Rozenski,,,,,Saint Mary's,Sr,,0,,,,
1975,9,157,Scott Trobbe,,,,,Stanford,Sr,,0,,,,
1975,10,171,Maurice Harper,,,,,Saint Mary's,Sr,,0,,,,
1974,1,11,Jamaal Wilkes,GF,6-6,190.0,21.0,UCLA,Sr,,12,78532.0,US,1985,0.0
1974,2,29,Phil Smith,SG,6-4,185.0,22.0,San Francisco,Sr,,9,78199.0,US,1982,0.0
1974,3,47,Frank Kendrick,SF,6-6,198.0,23.0,Purdue,Sr,,1,77242.0,US,1974,0.0
1974,4,65,Willie Biles,SG,6-3,175.0,,Tulsa,Sr,,1,,,,
1974,5,83,Steve Erickson,,,,,Oregon,Sr,,0,,,,
1974,6,101,John Errecart,G,6-3,,,Pacific,Sr,,1,,,,
1974,7,119,Brady Allen,,,,,California,Sr,,0,,,,
1974,8,137,Clarence Allen,,,,,UC Santa Barbara,Sr,,0,,,,
1974,9,155,Carl Meier,,,,,California,Sr,,0,,,,
1974,10,172,Marvin Buckley,,,,,Nevada,Sr,,0,,,,
1973,1,11,Kevin Joyce,G,6-3,190.0,21.0,South Carolina,Sr,,0,,,,
1973,2,29,Derrek Dickey,F,6-7,218.0,22.0,Cincinnati,Sr,,6,76564.0,US,1977,0.0
1973,3,46,Jim Retseck,PF,6-9,200.0,,Auburn,Sr,,0,,,,
1973,4,63,Ron King,SG,6-4,185.0,21.0,Florida State,Sr,,0,,,,
1973,5,80,Nate Stephens,C,6-11,230.0,,Long Beach State,Jr,,1,,,,
1973,6,97,Bob Lauriski,,,,,Utah State,Sr,,0,,,,
1973,7,114,Steve Smith,PF,6-9,,,Loyola Marymount,Sr,,0,,,,
1973,8,131,Jeff Dawson,G,6-1,175.0,,Illinois,Jr,,0,,,,
1973,9,146,Everett Fopma,,,,,Idaho State,Sr,,0,,,,
1973,10,160,Fred Lavoroni,,,,,Santa Clara,Sr,,0,,,,
1972,4,60,John Tschogl,SF,6-6,206.0,21.0,UC Santa Barbara,Sr,,3,,,,
1972,5,76,Charles Dudley,PG,6-2,180.0,22.0,Washington,Sr,,7,76607.0,US,1978,0.0
1972,6,93,Henry Bacon,G,6-3,205.0,23.0,Louisville,Sr,,0,,,,
1972,7,110,Will Franklin,PF,6-7,220.0,22.0,Purdue,Sr,,0,,,,
1972,8,126,John Burks,,,,,San Francisco,Sr,,0,,,,
1972,9,141,Bill Duey,,,,,California,Sr,,0,,,,
1971,1,8,Darnell Hillman,FC,6-9,215.0,21.0,San Jose State,Sr,,5,77028.0,US,1979,0.0
1971,4,59,Greg Gary,G,6-3,185.0,,St. Bonaventure,Sr,,0,,,,
1971,5,76,Odis Allison,SF,6-6,195.0,21.0,UNLV,Sr,,1,76029.0,US,1971,0.0
1971,6,93,Charles Johnson,PG,6-0,170.0,21.0,California,Sr,,7,77133.0,US,1978,0.0
1971,7,110,Ken May,,,,,Dayton,Sr,,0,,,,
1971,8,127,Jim Haderlein,,,,,Loyola Marymount,Sr,,0,,,,
1971,9,143,Clarence Smith,,,,,Villanova,Sr,,0,,,,
1971,10,159,Bill Drosdiak,,,,,Oregon,Sr,,0,,,,
1970,3,36,Earle Higgins,F,6-8,195.0,23.0,Eastern Michigan,Sr,,0,,,,
1970,4,53,Ralph Ogden,GF,6-5,205.0,22.0,Santa Clara,Sr,,1,77748.0,US,1970,0.0
1970,5,70,Levi Fontaine,SG,6-4,190.0,21.0,Maryland-Eastern Shore,Sr,,1,76731.0,US,1970,0.0
