Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2002,1,16,Jiri Welsch,F,6-6,208.0,22.0,Union Olimpija (Slovenia),1980 DOB,PHL to  GOS,4,GSW
2002,2,54,Mladen Sekularac,G-F,6-8,205.0,21.0,KK FMP (Serbia),1981 DOB *,DAL to  GOS,0,GSW
1999,1,26,Vonteego Cummings,PG,6-4,190.0,23.0,Pittsburgh,Sr,IND to  GOS,4,GSW
1998,1,4,Antawn Jamison,F,6-9,235.0,22.0,North Carolina,Jr *,TOR to  GOS,16,GSW
1994,1,11,Carlos Rogers,FC,6-11,220.0,23.0,Tennessee State,Sr,SEA to  GOS,8,GSW
1993,1,1,Chris Webber,F-C,6-9,245.0,20.0,Michigan,So *,ORL to  GOS,15,GSW
1993,2,43,Josh Grant,F,6-10,225.0,25.0,Utah,Sr,DEN to  GOS,1,GSW
1991,1,3,Billy Owens,SF,6-8,220.0,22.0,Syracuse,Jr *,SAC to  GOS,11,GSW
1986,1,23,Ken Barlow,PF,6-10,220.0,21.0,Notre Dame,Sr,LAL to  ATL ATL  to GOS,0,GSW
1962,5,39,John Windsor,F,6-8,215.0,21.0,Stanford,Sr,PHL to  GOS,1,GSW
