Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
1953,12,101,Harold Christensen,G,6-2,175.0,,Brigham Young,Sr,,0
1953,13,105,Bob Gelle,,,,,Minnesota,Sr,,0
1953,14,108,Lloyd Thorgaard,,,,,Hamline,Sr,,0
1953,15,111,Bob Gussner,,,,,Hamline,Sr,,0
1953,16,114,Chuck Wolfe,,,,,North Dakota,Sr,,0
1953,17,116,Doug Atkins,FC,6-8,257.0,22.0,Tennessee,Sr,,0
1953,18,118,Roger Kuss,,,,,Wisconsin-River Falls,Sr,,0
1952,1,10,Clyde Lovellette,FC,6-10,234.0,22.0,Kansas,Sr,,11
1952,2,20,Jim Holstein,SF,6-3,180.0,21.0,Cincinnati,Sr,,4
1952,3,30,Carl McNulty,SG,6-3,185.0,22.0,Purdue,Sr,,1
1952,4,40,Tom Ackerman,,,,,West Liberty,Sr,,0
1952,5,50,Jim Bishop,,,,,Southern Mississippi,Sr,,0
1952,6,60,Rod Fletcher,F,6-4,194.0,,Illinois,Sr,,0
1952,7,70,Cliff Haag,,,,,Wyoming,Sr,,0
1952,8,79,Bob Holt,,,,,Tulane,Sr,,0
1952,9,86,Tom Katsimpalis,C,6-3,,,Eastern Illinois,Sr,,0
1952,10,92,Dick Means,,,,,Minnesota,Sr,,0
1952,11,97,Dwight Morrison,,,,,USC,Sr,,0
1952,12,100,Ed Ramiraz,,,,,Centenary (LA),Sr,,0
1952,13,102,Don Schneider,,,,,Arizona,Sr,,0
1952,14,103,Gene Smith,GF,6-1,175.0,,Huron,Sr,,0
1952,15,104,Gene Smith,C,6-5,,,Xavier,Sr,,0
1952,16,105,Homer Spain,,,,23.0,Union (TN),Sr,,0
1952,17,106,John Wallesea,,,,,Memphis,Sr,,0
1951,1,10,Whitey Skoog,G,5-11,180.0,24.0,Minnesota,Sr,,6
1951,2,20,Lew Hitch,FC,6-8,200.0,21.0,Kansas State,Sr,,6
1951,3,30,Bob Payne,,,,,Oregon State,Sr,,0
1951,4,40,Gale McArthur,G,6-2,185.0,,Oklahoma State,Sr,,0
1951,5,50,Leo Vander Kuy,GF,6-5,180.0,21.0,Michigan,Sr,,0
1951,6,60,Deward Dopson,,,,,Arkansas Tech,Sr,,0
1951,7,70,Ed Head,,,,,Kansas State,Sr,,0
1950,1,11,Kevin O'Shea,G,6-2,175.0,24.0,Notre Dame,Sr,,3
1950,2,23,Hal Haskins,G,6-3,185.0,25.0,Hamline,Sr,,0
1950,3,35,Howie Williams,G,6-0,185.0,22.0,Purdue,Sr,,0
1950,4,47,Bud Grant,,,,22.0,Minnesota,Sr,,2
1950,5,59,Ed Beach,G,6-3,200.0,21.0,West Virginia,Sr,,1
1950,6,71,Wayne Glasgow,G,6-3,190.0,24.0,Oklahoma,Sr,,0
1950,7,83,Joe Hutton,G,6-1,170.0,21.0,Hamline,Sr,,2
1950,8,95,Nate Benson,,,,,Wisconsin-River Falls,Sr,,0
1950,9,107,Jim Reilly,,,,,Swarthmore,Sr,,0
1950,10,117,Andy Butchko,,,,,Purdue,Sr,,0
1949,1,11,Vern Mikkelsen,F,6-7,230.0,20.0,Hamline,Sr,,10
1949,2,23,Bob Harrison,G,6-1,190.0,21.0,Michigan,Sr,,9
1949,3,35,Slater Martin,PG,5-10,170.0,23.0,Texas,Sr,,11
1949,4,44,Paul Walther,G,6-2,160.0,21.0,Tennessee,Sr,,6
1948,1,9,Chuck Hanger,,,,,California,Sr,,0
1948,2,21,Johnny Orr,,,,20.0,Beloit,Jr,,1
1948,3,33,Arnie Ferrin,G,6-2,180.0,22.0,Utah,Sr,,3
1948,4,45,Earl Gardner,G,6-3,195.0,24.0,DePauw,Sr,,1
1948,5,57,Dee Gibson,G,5-11,175.0,24.0,Western Kentucky,Sr,MIN to TCB,1
1948,6,68,Ken Jastrow,,,,,Denver,Sr,,0
1948,7,79,Cliff Crandall,,,,,Oregon State,Sr,,0
1948,8,89,Bob Lowther,GF,6-5,185.0,24.0,LSU,Sr,,0
1948,9,98,Junior Skogland,,,,,Gustavus Adolphus,Sr,,0
1948,10,106,Quentin Stinson,,,,,Southern Illinois,Jr,,0
