Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
1972,3,32,Bob Morse,F,6-8,,21.0,Pennsylvania,Sr,,0
1972,4,49,George Bryant,G,6-0,185.0,,Eastern Kentucky,Sr,,0
1972,5,65,Arnie Berman,C,6-7,,,Brown,Sr,,0
1972,6,82,Ed Czernota,,,,,Sacred Heart,Sr,,0
1972,7,99,Greg Kohls,G,6-1,170.0,,Syracuse,Sr,,0
1972,8,115,Andy Denny,,,,,South Alabama,Sr,,0
1972,9,131,John Collins,,,,,SUNY Brockport,Sr,,1
1972,11,158,Jim Prokell,,,,,Edinboro,Sr,,0
1972,12,167,Frank Dewitt,F,,,,Virginia,Sr,,0
1972,13,176,Kim Huband,G,6-4,,,North Carolina,Sr,,0
1972,14,182,Greg Corson,,,,,North Carolina,Sr,,0
1972,15,189,Paul Hoffman,G,,,,St. Bonaventure,Sr,,0
1972,16,194,Norman Bounds,,,,,SUNY Brockport,Sr,,0
1971,1,3,Elmore Smith,C,7-0,250.0,21.0,Kentucky State,Sr,,8
1971,2,19,Fred Hilton,SG,6-3,185.0,23.0,Grambling State,Sr,,2
1971,2,26,Amos Thomas,F,6-7,190.0,22.0,Southwestern Oklahoma State,Sr,,0
1971,2,30,Spencer Haywood,PF,6-8,225.0,21.0,Detroit-Mercy,Sr,,13
1971,4,53,Jimmy O'Brien,G,6-2,180.0,21.0,Boston College,Sr,,0
1971,5,70,Garry Nelson,,,,,Duquesne,Sr,,0
1971,6,87,Glen Summors,,,,,Gannon,Jr,,0
1971,7,104,Randy Smith,GF,6-3,180.0,22.0,Buffalo State,Jr,,12
1971,8,121,Craig Love,C,6-10,,,Ohio,Sr,,1
1971,9,138,Gary Stewart,F,6-6,220.0,,Canisius,Jr,,0
1971,10,154,Don Ward,,,,,Colgate,Sr,,0
1971,11,170,Bill Warner,SF,,,,Arizona,Sr,,0
1971,12,184,Butch Webster,G,6-4,,,Xavier,Sr,,0
1971,13,197,Pete Smith,GF,6-6,205.0,,Valdosta State,Sr,,0
1971,14,209,Ray Lavender,,,,,Drury University,Sr,,0
1971,15,218,William Chatmon,,,,,Baylor,Sr,,0
1971,16,226,James Douglas,,,,,Memphis,Sr,,0
1971,17,230,Nelson Isley,G,6-4,210.0,23.0,LSU,Sr,,0
1971,18,233,Joey Meyer,,,,21.0,DePaul,Sr,,0
1970,1,15,John Hummer,FC,6-9,230.0,21.0,Princeton,Sr,,6
1970,2,24,Cornell Warner,FC,6-9,220.0,21.0,Jackson State,Sr,,7
1970,3,43,Chip Case,G,6-4,180.0,,Virginia,Sr,,0
1970,4,58,Erwin Polnick,F,6-6,205.0,21.0,Stephen F. Austin,Sr,,0
1970,5,77,Robert Moore,,,,,Central State (OH),Sr,,0
1970,6,92,Skip Hess,C,7-0,,,Toledo,Jr,,0
1970,7,111,Cliff Shegogg,,,,,Colorado State,Sr,,0
1970,8,126,Larry Woods,,,,,West Virginia,Sr,,0
1970,9,145,Larry Duckworth,,,,,Henderson State,Jr,,0
1970,10,160,Joe Taylor,,,,,Dillard,Sr,,0
1970,11,177,Dick Walker,,,,,Wake Forest,Sr,,0
